age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1113,19.7
eight,0.0821,37.3
nine,0.0657,40.1
ten,0.0669,52.8
eleven,0.0864,33.4
twelve,0.0911,12.9
adult,0.1229,85.9
