age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.3012,19.7
eight,0.2648,37.3
nine,0.2894,40.1
ten,0.2755,52.8
eleven,0.3816,33.4
twelve,0.2225,12.9
adult,0.3828,85.9
