age_group,shift_frame,proportion_looking_left,baseline_mean,baseline_std,is_significant,p_value,test_method,baseline_max_frame,baseline_group,baseline_shift_frame,frame_difference,percent_difference
seven,21,0.42857142857142855,0.23857929136566908,0.017891618971435826,True,0.0410765672658856,chi_square,5,adult,15,6,40.0
eight,24,0.45,0.2621732026143791,0.033050894769941816,False,0.05615143605894923,chi_square,5,adult,15,9,60.0
nine,18,0.42857142857142855,0.24741200828157353,0.030985189512823162,True,0.026315525966564612,chi_square,5,adult,15,3,20.0
ten,17,0.5384615384615384,0.340311986863711,0.013503189001148216,True,0.032972697213047075,chi_square,5,adult,15,2,13.333333333333334
eleven,25,0.7619047619047619,0.48997493734335845,0.01375595137850888,True,0.01267476667983869,chi_square,5,adult,15,10,66.66666666666666
twelve,21,1.0,0.4666666666666667,0.07453559924999299,True,0.008828760952818593,chi_square,5,adult,15,6,40.0
adult,15,0.4666666666666667,0.09548658941738919,0.024979107736535208,True,0.0,chi_square,5,adult,15,0,0.0
