age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.073,7.0
eight,0.1303,13.0
nine,0.1388,16.7
ten,0.1414,24.2
eleven,0.1383,19.4
twelve,0.0976,8.4
adult,0.0855,42.2
