age_group,shift_frame,proportion_looking_left,baseline_mean,baseline_std,is_significant,p_value,test_method,baseline_max_frame,baseline_group,baseline_shift_frame,frame_difference,percent_difference
seven,15,0.75,0.42738095238095236,0.04056363104143053,True,0.023875646083159174,chi_square,5,adult,13,2,15.384615384615385
eight,15,0.5454545454545454,0.30994259363824583,0.031091173168784656,True,0.016913306964074226,chi_square,5,adult,13,2,15.384615384615385
nine,16,0.64,0.3648266516092603,0.07246990103135198,True,0.004261017316898541,chi_square,5,adult,13,3,23.076923076923077
ten,14,0.625,0.2978197997775306,0.033294091442748724,True,5.1821031606058554e-05,chi_square,5,adult,13,1,7.6923076923076925
eleven,15,0.6190476190476191,0.3695238095238095,0.03394005653562947,True,0.01783598502007344,chi_square,5,adult,13,2,15.384615384615385
twelve,134,1.0,0.6266666666666667,0.12780193008453877,False,0.05867423706249786,chi_square,5,adult,13,121,930.7692307692308
adult,13,0.5454545454545454,0.07727614253930044,0.03625223202907584,True,0.0,chi_square,5,adult,13,0,0.0
