age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1209,6.4
eight,0.1834,11.6
nine,0.1355,13.3
ten,0.227,25.8
eleven,0.194,17.9
twelve,0.2238,7.2
adult,0.1431,39.9
