age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1971,11.1
eight,0.2145,17.9
nine,0.2763,23.6
ten,0.3185,25.7
eleven,0.3904,20.2
twelve,0.14,5.9
adult,0.1724,44.1
