age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.184,12.7
eight,0.1477,20.9
nine,0.1977,15.0
ten,0.1157,34.5
eleven,0.1701,21.1
twelve,0.0867,6.1
adult,0.235,42.2
