age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2981,7.0
eight,0.2971,13.0
nine,0.1835,16.7
ten,0.2857,24.2
eleven,0.1702,19.4
twelve,0.2065,8.4
adult,0.1173,42.2
