age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1595,9.7
eight,0.152,14.4
nine,0.1524,19.3
ten,0.11,21.7
eleven,0.1389,17.0
twelve,0.1521,4.9
adult,0.1987,41.9
