age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2811,15.9
eight,0.3327,15.4
nine,0.3114,22.2
ten,0.414,28.4
eleven,0.3818,20.2
twelve,0.392,6.0
adult,0.3733,46.4
