age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2395,19.1
eight,0.262,22.3
nine,0.2646,22.3
ten,0.2432,29.6
eleven,0.255,24.2
twelve,0.2589,6.0
adult,0.1659,45.5
