age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1992,11.1
eight,0.3085,17.9
nine,0.3049,23.6
ten,0.3522,25.7
eleven,0.2374,20.2
twelve,0.2636,5.9
adult,0.1332,44.1
