age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2296,12.7
eight,0.194,20.9
nine,0.1465,15.0
ten,0.2684,34.5
eleven,0.3283,21.1
twelve,0.2622,6.1
adult,0.3209,42.2
