age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.3531,11.1
eight,0.1923,17.9
nine,0.101,23.6
ten,0.0779,25.7
eleven,0.1407,20.2
twelve,0.3887,5.9
adult,0.5373,44.1
