age_group,shift_frame,threshold,proportion_looking_left,baseline_mean,baseline_std,is_significant,p_value,test_method,baseline_max_frame,baseline_group,baseline_shift_frame,frame_difference,percent_difference
seven,16.0,0.20981554677206848,0.2857142857142857,0.059815546772068504,0.023209485474188624,True,1.269730038788719e-05,chi_square,5,adult,17.0,-1.0,-5.88235294117647
eight,,0.5089033112059428,,0.35890331120594277,0.019739247878271023,False,,none,5,adult,17.0,,
nine,147.0,0.5315266989657234,0.5882352941176471,0.3815266989657234,0.040331200461733795,True,0.013091301881306139,chi_square,5,adult,17.0,130.0,764.7058823529412
ten,150.0,0.4596681749622926,0.5348837209302325,0.3096681749622926,0.022272935679219483,True,0.0014024304466599968,chi_square,5,adult,17.0,133.0,782.3529411764706
eleven,,0.42076050076050076,,0.2707605007605008,0.03981865782882362,False,,none,5,adult,17.0,,
twelve,,0.4928571428571429,,0.34285714285714286,0.03194382824999701,False,,none,5,adult,17.0,,
adult,17.0,0.2603114082345643,0.35294117647058826,0.11031140823456427,0.0015469207718010396,True,9.303668946358812e-13,chi_square,5,adult,17.0,0.0,0.0
