age_group,shift_frame_mean,shift_frame_median,shift_frame_min,shift_frame_max,shift_frame_std,shift_frame_count,percent_significant
adult,12.0,12.0,12.0,12.0,,1,100.0
eight,15.0,15.0,15.0,15.0,,1,100.0
nine,14.0,14.0,14.0,14.0,,1,100.0
seven,14.0,14.0,14.0,14.0,,1,100.0
ten,16.0,16.0,16.0,16.0,,1,100.0
twelve,139.0,139.0,139.0,139.0,,1,100.0
