age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2037,13.7
eight,0.2012,18.6
nine,0.2022,22.5
ten,0.2054,27.7
eleven,0.2554,19.2
twelve,0.1367,6.0
adult,0.2042,43.6
