age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2294,19.1
eight,0.2072,22.3
nine,0.1187,22.3
ten,0.1877,29.6
eleven,0.2433,24.2
twelve,0.2311,6.0
adult,0.2565,45.5
