age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2058,16.7
eight,0.2714,17.9
nine,0.3023,23.3
ten,0.3087,32.7
eleven,0.2529,16.8
twelve,0.3189,6.0
adult,0.2187,39.6
