age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1104,6.4
eight,0.2083,11.6
nine,0.1646,13.3
ten,0.1513,25.8
eleven,0.2526,17.9
twelve,0.2489,7.2
adult,0.3553,39.9
