age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2571,14.3
eight,0.3383,15.0
nine,0.2529,22.6
ten,0.3168,29.2
eleven,0.27,18.2
twelve,0.3418,5.7
adult,0.2052,41.0
