age_group,shift_frame,threshold,proportion_looking_left,baseline_mean,baseline_std,is_significant,p_value,test_method,baseline_max_frame,baseline_group,baseline_shift_frame,frame_difference,percent_difference
seven,16,0.43895912865110703,0.6666666666666666,0.19944444444444445,0.11975734210333129,True,0.00045178453385552597,chi_square,5,adult,127,-111,-87.4015748031496
eight,135,0.6653846153846154,0.8181818181818182,0.5153846153846153,0.03842973892037505,True,0.04448616067627864,chi_square,5,adult,127,8,6.299212598425196
nine,15,0.4620255183413078,0.631578947368421,0.31202551834130776,0.05194943010107658,True,0.002644073500348898,chi_square,5,adult,127,-112,-88.18897637795276
ten,14,0.3957468457468457,0.6,0.24574684574684574,0.02637255860403004,True,3.8859169902649704e-05,chi_square,5,adult,127,-113,-88.9763779527559
eleven,137,0.6447368421052632,0.7222222222222222,0.4947368421052632,0.030286803966304895,False,0.0535592253688284,chi_square,5,adult,127,10,7.874015748031496
twelve,16,0.7071428571428572,0.7142857142857143,0.5571428571428572,0.03194382824999698,False,0.4025892132897192,chi_square,5,adult,127,-111,-87.4015748031496
adult,127,0.23429093535356782,0.28205128205128205,0.08429093535356783,0.010265328954567526,True,8.776407923072327e-06,chi_square,5,adult,127,0,0.0
