age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1202,16.7
eight,0.1225,17.9
nine,0.0865,23.3
ten,0.1198,32.7
eleven,0.159,16.8
twelve,0.06,6.0
adult,0.1497,39.6
