age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2223,7.0
eight,0.2715,13.0
nine,0.3272,16.7
ten,0.2576,24.2
eleven,0.3792,19.4
twelve,0.4299,8.4
adult,0.4127,42.2
