age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1263,15.9
eight,0.2887,15.4
nine,0.1735,22.2
ten,0.1983,28.4
eleven,0.21,20.2
twelve,0.2178,6.0
adult,0.1497,46.4
