age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2131,19.7
eight,0.3155,37.3
nine,0.2762,40.1
ten,0.3273,52.8
eleven,0.2136,33.4
twelve,0.361,12.9
adult,0.2218,85.9
