age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.126,14.3
eight,0.1182,15.0
nine,0.1471,22.6
ten,0.1806,29.2
eleven,0.2434,18.2
twelve,0.2291,5.7
adult,0.1964,41.0
