age_group,shift_frame_mean,shift_frame_median,shift_frame_min,shift_frame_max,shift_frame_std,shift_frame_count,percent_significant
adult,13.0,13.0,13,13,,1,100.0
eight,15.0,15.0,15,15,,1,100.0
eleven,15.0,15.0,15,15,,1,100.0
nine,16.0,16.0,16,16,,1,100.0
seven,15.0,15.0,15,15,,1,100.0
ten,14.0,14.0,14,14,,1,100.0
twelve,134.0,134.0,134,134,,1,0.0
