age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2597,14.3
eight,0.2111,15.0
nine,0.219,22.6
ten,0.1723,29.2
eleven,0.1757,18.2
twelve,0.1482,5.7
adult,0.3372,41.0
