age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2913,13.7
eight,0.3437,18.6
nine,0.277,22.5
ten,0.3083,27.7
eleven,0.2917,19.2
twelve,0.4067,6.0
adult,0.3218,43.6
