age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2369,9.7
eight,0.2885,14.4
nine,0.3097,19.3
ten,0.3363,21.7
eleven,0.3086,17.0
twelve,0.381,4.9
adult,0.2103,41.9
