age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2319,12.7
eight,0.3523,20.9
nine,0.3212,15.0
ten,0.341,34.5
eleven,0.194,21.1
twelve,0.3942,6.1
adult,0.211,42.2
