age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2163,9.7
eight,0.2258,14.4
nine,0.1818,19.3
ten,0.1935,21.7
eleven,0.2383,17.0
twelve,0.1961,4.9
adult,0.2807,41.9
