age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.185,13.7
eight,0.1333,18.6
nine,0.1735,22.5
ten,0.1675,27.7
eleven,0.1964,19.2
twelve,0.2344,6.0
adult,0.2057,43.6
