age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.1698,19.1
eight,0.2695,22.3
nine,0.2573,22.3
ten,0.2654,29.6
eleven,0.2417,24.2
twelve,0.2867,6.0
adult,0.338,45.5
