age_group,mean_proportion_looking_at_target,mean_participants_per_frame
seven,0.2568,6.4
eight,0.2909,11.6
nine,0.3174,13.3
ten,0.3024,25.8
eleven,0.2312,17.9
twelve,0.2912,7.2
adult,0.1788,39.9
